OBJECTID,ID,ADDRESS,TERMINAL_NUMBER,LATITUDE,LONGITUDE,INSTALLED,LOCKED,INSTALL_DATE,REMOVAL_DATE,TEMPORARY_INSTALL,NUMBER_OF_BIKES,NUMBER_OF_EMPTY_DOCKS,X,Y,SE_ANNO_CAD_DATA,OWNER
282368330,138,Wilson Blvd & N Franklin Rd,31020,38.8904,-77.0889,YES,NO,,,NO,10,1,392287.43385198,135843.38082737,,
282368331,139,Clarendon Blvd & N Fillmore St,31021,38.8881,-77.09308,YES,NO,,,NO,2,13,391924.53555307,135588.42446277,,
282368332,140,Clarendon Metro / Wilson Blvd & N Highland St,31022,38.88786,-77.094875,YES,NO,,,NO,14,3,391768.77673525,135561.94292851,,
282368333,141,18th St & Pennsylvania Ave NW,31242,38.89968,-77.041539,YES,NO,,,NO,24,3,396396.73056387,136870.59871663,,DC
282368334,142,4th & C St SW,31243,38.886372,-77.017701,YES,NO,,,NO,34,4,398464.25352264,135392.63496554,,DC
282368335,143,4th & E St SW,31244,38.88412,-77.017445,YES,NO,,,NO,8,10,398486.41642165,135142.64129491,,DC
282368336,144,3rd & G St SE,31625,38.881185,-77.001828,YES,NO,,,NO,0,19,399841.39039203,134816.69073244,,DC
282368337,145,7th & R St NW / Shaw Library,31245,38.912719,-77.022155,YES,NO,,,NO,0,15,398078.53235602,138317.44722014,,DC
282368294,96,3rd & H St NE,31616,38.900412,-77.001949,YES,NO,,,NO,1,16,399830.93718412,136951.03859198,,DC
282368295,97,Bladensburg Rd & Benning Rd NE,31617,38.900413,-76.982872,YES,NO,,,NO,9,6,401485.74030431,136951.28717624,,DC
282368296,98,4th & East Capitol St NE,31618,38.889955,-77.000349,YES,NO,,,NO,1,10,399969.72212823,135790.22701798,,DC
282368297,99,Lincoln Park / 13th & East Capitol St NE,31619,38.890461,-76.988355,YES,NO,,,NO,4,18,401010.26737857,135846.46135466,,DC
282368298,100,Branch & Pennsylvania Ave SE,31701,38.8692,-76.9599,YES,NO,,,NO,2,9,403479.93073282,133487.02816607,,DC
282368299,101,13th & D St NE,31622,38.894832,-76.987633,YES,NO,,,NO,0,31,401072.83909032,136331.6849909,,DC
282368300,102,New Hampshire Ave & T St NW,31229,38.91554,-77.03818,YES,NO,,,NO,0,22,396688.84082399,138631.06089313,,DC
282368301,103,Metro Center / 12th & G St NW,31230,38.898364,-77.027869,YES,NO,,,NO,36,2,397582.47982913,136724.06141167,,DC
282368302,104,14th & D St NW / Ronald Reagan Building,31231,38.894514,-77.031617,YES,NO,,,NO,14,11,397257.20836553,136296.78677707,,DC
282368303,105,7th & F St NW / National Portrait Gallery,31232,38.897312,-77.022325,YES,NO,,,NO,22,4,398063.37026696,136607.14881344,,DC
282368304,107,20th & O St NW / Dupont South,31234,38.908905,-77.04478,YES,NO,,,NO,8,9,396116.0947985,137894.78124868,,DC
282368305,108,4th & D St NW / Judiciary Square,31621,38.895344,-77.016106,YES,NO,,,NO,12,3,398602.81213383,136388.57162835,,DC
282368306,109,19th St & Constitution Ave NW,31235,38.8923,-77.0436,YES,NO,,,NO,12,21,396217.55940232,136051.44360649,,DC
282368307,110,37th & O St NW / Georgetown University,31236,38.90774,-77.071652,YES,NO,,,NO,16,5,393785.30362802,137766.94307056,,DC
282368308,111,11th & H St NE,31614,38.899983,-76.991383,YES,NO,,,NO,0,19,400747.47205932,136903.4496248,,DC
282368309,112,25th St & Pennsylvania Ave NW,31237,38.903827,-77.053485,YES,NO,,,NO,0,15,395360.75356309,137331.48834951,,DC
282368310,113,Columbus Circle / Union Station,31623,38.89696,-77.00493,YES,NO,,,NO,22,31,399572.33452251,136567.84875416,,DC
282368311,114,North Capitol St & F St NW,31624,38.897446,-77.009888,YES,NO,,,NO,13,7,399142.24595819,136621.83352922,,DC
282368312,115,11th & M St NW,31266,38.905607,-77.027137,YES,NO,,,NO,1,18,397646.21680293,137528.07359221,,DC
282368313,116,36th & Calvert St NW / Glover Park,31304,38.922581,-77.070334,YES,NO,,,NO,0,15,393900.88891277,139414.32818096,,DC
282368314,117,14th & G St NW,31238,38.898409,-77.032278,YES,NO,,,NO,21,1,397200.01914538,136729.18276662,,DC
282368338,146,9th & Upshur St NW,31404,38.9418,-77.0251,YES,NO,,,NO,4,11,397824.00484445,141545.75347825,,DC
282368339,147,1st & Rhode Island Ave NW,31506,38.915417,-77.012289,YES,NO,,,NO,0,11,398934.23503524,138616.78618346,,DC
282368340,148,Columbia Rd & Georgia Ave NW,31115,38.928121,-77.023795,YES,NO,,,NO,0,19,397936.74344645,140027.23478731,,DC
282368341,149,California St & Florida Ave NW,31116,38.917761,-77.04062,YES,NO,,,NO,1,17,396477.34162756,138877.70174796,,DC
282368342,150,Benning Rd & East Capitol St NE / Benning Rd Metro,31707,38.889935,-76.93723,YES,NO,,,NO,3,15,405445.68021157,135789.87902946,,DC
282368343,151,3000 Connecticut Ave NW / National Zoo,31307,38.930282,-77.055599,YES,NO,,,NO,7,8,395179.17550824,140268.32354902,,DC
282368344,152,Anacostia Ave & Benning Rd NE / River Terrace,31708,38.896544,-76.96012,YES,NO,,,NO,13,1,403459.51281234,136522.41355417,,DC
282368345,153,M St & Pennsylvania Ave NW,31246,38.905126,-77.056887,YES,NO,,,NO,2,17,395065.75667991,137475.86623703,,DC
282368346,154,15th St & Massachusetts Ave SE,31626,38.88732,-76.983569,YES,NO,,,NO,1,14,401425.5417836,135497.84971905,,DC
282368347,155,Congress Heights Metro,31806,38.844711,-76.987823,YES,NO,,,NO,2,13,401057.09871953,130767.87922723,,DC
282368348,156,N Quincy St & Glebe Rd,31035,38.876393,-77.107735,YES,NO,,,NO,7,4,390651.55922442,134290.2570428,,
282368349,157,Barcroft Community Center,31033,38.850337,-77.100989,YES,NO,,,NO,2,9,391233.72684756,131397.18311219,,
282368350,158,N Veitch St & 20th St N,31029,38.896923,-77.086502,YES,NO,,,NO,0,15,392496.15967477,136567.28510903,,
